Cement;Sand;W_C;Foam;Density;Comp_28
758.5;758.5;0.35;0.203;1785.78;29.25
678.6;678.6;0.35;0.288;1596.15;20.63
485.8;971.6;0.45;0.261;1675.85;14.27
693.7;693.7;0.35;0.271;1633.19;21.77
693;693;0.35;0.272;1631.7;21.68
772.5;772.5;0.45;0.114;1892.74;32.16
608.6;608.6;0.45;0.302;1490.96;11.88
884.6;442.3;0.45;0.151;1725.04;25.76
724.7;724.7;0.4;0.205;1739.26;28.12
836.6;836.6;0.35;0.121;1969.78;40.49
666;666;0.35;0.3;1568.3;24.65
703.6;703.6;0.45;0.193;1723.85;24.87
724;724;0.4;0.206;1737.48;28.27
411;0;0.44;0.385;631;2.07
375;717;0.54;0.4;1160.65;8.82
479;958;0.45;0.271;1652.74;12.65
539.5;1079;0.45;0.179;1861.33;28.11
450;1167;0.45;0.2;1706.87;18.5
721.23;721.23;0.4;0.209;1730.96;28.96
844;844;0.35;0.113;1986.96;40.91
666.7;666.7;0.35;0.299;1569.48;26.3
819.15;819.15;0.35;0.141;1926.81;44.38
753.2;753.2;0.45;0.136;1845.33;31.71
742.3;742.3;0.35;0.221;1746.07;34.86
752.3;752.3;0.35;0.209;1771.26;36.23
750.9;750.9;0.35;0.211;1768;36.35
902;451;0.45;0.134;1759.11;30.4
753.3;753.3;0.35;0.208;1773.63;37.34
852;852;0.35;0.104;2005.93;40.69
450;147;0.45;0.6;686.87;3.43
